date,logger3,logger4,logger6,logger7,logger8,logger9,logger10,logger11,logger12,logger13,logger14,logger15
20160303,1328,7914,1330,7444,7321,7308,0,7301,1321,1005,1325,7305
20160304,1328,7914,1330,7444,7321,7308,0,7301,1321,1005,1325,7305
20160305,1328,0,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160306,1328,0,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160307,1328,0,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160308,1328,0,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160309,1328,0,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160310,1328,0,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160311,1328,0,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160312,1328,0,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160313,1328,0,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160314,1328,0,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160315,1328,0,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160316,1328,0,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160317,1328,0,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160318,1328,0,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160319,1328,0,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160320,1328,0,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160321,1328,0,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160322,1328,0,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160323,1328,0,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160324,0,1328,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160325,0,1328,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160326,0,1328,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160327,0,1328,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160328,0,1328,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160329,0,1328,1330,7444,7321,7308,7914,7301,1321,1005,1325,7305
20160330,0,1328,1330,7444,7321,7308,7914,7301,1321,1005,0,0
20160331,0,1328,1330,7444,7321,7308,7914,7301,1321,1005,0,0
20160401,0,1328,1330,7444,7321,7308,7914,7301,1321,1005,0,0
20160402,0,1328,1330,7444,7321,7308,7914,7301,1321,1005,0,0
20160403,0,1328,1330,7444,7321,7308,7914,7301,1321,1005,0,0
20160404,0,1328,1330,7444,7321,7308,7914,7301,1321,1005,0,0
20160405,0,1328,1330,7444,7321,7308,7914,7301,1321,1005,0,0
20160406,0,1328,1330,7444,7321,7308,7914,7301,1321,1005,0,0
20160407,0,1328,1330,7444,7321,7308,7914,7301,1321,1005,0,0
20160408,0,1328,1330,7444,7321,7308,7914,7301,1321,1005,0,0
20160409,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160410,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160411,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160412,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160413,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160414,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160415,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160416,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160417,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160418,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160419,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160420,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160421,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160422,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160423,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160424,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160425,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160426,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160427,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160428,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160429,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160430,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160501,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160502,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160503,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160504,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160505,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160506,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160507,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160508,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160509,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160510,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160511,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160512,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160513,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160514,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160515,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160516,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160517,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160518,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160519,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160520,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160521,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160522,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160523,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160524,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160525,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160526,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160527,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160528,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160529,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
20160530,1317,1328,1330,7444,7321,7308,7914,7301,1321,1005,1308,1316
